referrer,views_total,views_unique
github.com,295,42
Google,192,44
DuckDuckGo,13,3
ease-lab.github.io,6,5
homepages.inf.ed.ac.uk,4,4
pkg.go.dev,4,2
issues.amazon.com,3,2
Yahoo,1,1
githubhot.com,1,1
quip-amazon.com,1,1
