time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-13 00:00:00+00:00,576,106,67.0,10.0
2021-12-14 00:00:00+00:00,717,136,121.0,19.0
2021-12-15 00:00:00+00:00,258,99,41.0,11.0
2021-12-16 00:00:00+00:00,5,4,14.0,9.0
2021-12-17 00:00:00+00:00,47,6,67.0,13.0
2021-12-18 00:00:00+00:00,112,66,40.0,5.0
2021-12-19 00:00:00+00:00,221,82,76.0,6.0
2021-12-20 00:00:00+00:00,328,89,23.0,10.0
2021-12-21 00:00:00+00:00,183,79,18.0,8.0
2021-12-22 00:00:00+00:00,182,76,117.0,12.0
2021-12-23 00:00:00+00:00,632,105,84.0,8.0
2021-12-24 00:00:00+00:00,456,99,3.0,3.0
2021-12-25 00:00:00+00:00,349,96,12.0,7.0
2021-12-26 00:00:00+00:00,217,79,5.0,2.0
2021-12-27 00:00:00+00:00,6,6,,
