referrer,views_total,views_unique
Google,230,40
github.com,100,27
DuckDuckGo,42,3
pkg.go.dev,19,3
youtube.com,10,2
confluence.amd.com,4,2
homepages.inf.ed.ac.uk,3,1
Bing,3,1
githubmemory.com,2,2
papago.naver.net,1,1
