referrer,views_total,views_unique
github.com,179,41
Google,169,53
ease-lab.github.io,33,13
homepages.inf.ed.ac.uk,14,9
pkg.go.dev,6,2
DuckDuckGo,4,3
githubhot.com,3,2
ecosia.org,1,1
