referrer,views_total,views_unique
Google,121,22
github.com,52,22
ease-lab.github.io,18,9
homepages.inf.ed.ac.uk,3,2
yandex.ru,2,1
pkg.go.dev,2,1
git.daimler.com,1,1
github-wiki-see.page,1,1
Bing,1,1
