referrer,views_total,views_unique
github.com,36,20
Google,19,16
t.co,6,6
homepages.inf.ed.ac.uk,6,2
com.google.android.gm,2,1
web.inf.ed.ac.uk,2,1
Bing,1,1
ease-lab.github.io,1,1
