url_path,views_total,views_unique
/vhive-serverless/vSwarm/tree/main/benchmarks,183,22
/vhive-serverless/vSwarm,83,31
/vhive-serverless/vSwarm/tree/main/benchmarks/online-shop,73,9
/vhive-serverless/vSwarm/tree/main/benchmarks/video-analytics,47,6
/vhive-serverless/vSwarm/tree/main/benchmarks/aes,46,9
/vhive-serverless/vSwarm/tree/main/tools,42,9
/vhive-serverless/vSwarm/tree/main/benchmarks/fibonacci,40,6
/vhive-serverless/vSwarm/tree/main/benchmarks/map-reduce,27,7
/vhive-serverless/vSwarm/tree/main/benchmarks/hotel-app,26,6
/vhive-serverless/vSwarm/tree/main/benchmarks/stacking-training,25,4
