time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-10 00:00:00+00:00,16,6,528,7
2023-11-11 00:00:00+00:00,446,93,761,4
2023-11-12 00:00:00+00:00,738,4,301,6
2023-11-13 00:00:00+00:00,722,6,5,3
2023-11-14 00:00:00+00:00,431,30,78,10
2023-11-15 00:00:00+00:00,3,3,84,10
2023-11-16 00:00:00+00:00,13,5,86,6
2023-11-17 00:00:00+00:00,3,2,348,8
2023-11-18 00:00:00+00:00,1,1,209,4
2023-11-19 00:00:00+00:00,1,1,2,2
2023-11-20 00:00:00+00:00,937,7,54,5
2023-11-21 00:00:00+00:00,211,25,22,7
2023-11-22 00:00:00+00:00,28,22,101,3
2023-11-23 00:00:00+00:00,24,18,57,6
