time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-01 00:00:00+00:00,11,8,7,7
2026-05-02 00:00:00+00:00,4,3,5,5
2026-05-03 00:00:00+00:00,4,4,10,8
2026-05-04 00:00:00+00:00,44,15,1,1
2026-05-05 00:00:00+00:00,33,13,1,1
2026-05-06 00:00:00+00:00,6,5,25,5
2026-05-07 00:00:00+00:00,5,5,6,3
2026-05-08 00:00:00+00:00,3,3,1,1
2026-05-09 00:00:00+00:00,51,15,10,10
2026-05-10 00:00:00+00:00,4,4,4,4
2026-05-11 00:00:00+00:00,1,1,9,7
2026-05-12 00:00:00+00:00,31,11,4,4
2026-05-13 00:00:00+00:00,21,20,3,3
2026-05-14 00:00:00+00:00,20,20,2,2
