url_path,views_total,views_unique
/vhive-serverless/vSwarm,27,17
/vhive-serverless/vSwarm/tree/main/benchmarks/hotel-app,26,4
/vhive-serverless/vSwarm/tree/main/benchmarks,20,7
/vhive-serverless/vSwarm/tree/169d03204182e4e2c521eeee5e6c292341b21a93/benchmarks,7,1
/vhive-serverless/vSwarm/tree/main/benchmarks/hotel-app/reservation,6,3
/vhive-serverless/vSwarm/tree/main/benchmarks/hotel-app/rate,6,2
/vhive-serverless/vSwarm/tree/main,4,3
/vhive-serverless/vSwarm/tree/main/benchmarks/bert,4,2
/vhive-serverless/vSwarm/tree/main/benchmarks/hotel-app/recommendation,4,2
/vhive-serverless/vSwarm/tree/main/benchmarks/hotel-app/search,4,2
