url_path,views_total,views_unique
/vhive-serverless/vSwarm/tree/main/benchmarks,62,9
/vhive-serverless/vSwarm/tree/main/benchmarks/video-analytics,61,3
/vhive-serverless/vSwarm,52,23
/vhive-serverless/vSwarm/tree/main/benchmarks/video-analytics/video_streaming,21,1
/vhive-serverless/vSwarm/tree/main/benchmarks/map-reduce,17,2
/vhive-serverless/vSwarm/blob/main/docs/running_benchmarks.md,15,4
/vhive-serverless/vSwarm/blob/main/benchmarks/video-analytics/video_streaming/video-streaming.go,12,1
/vhive-serverless/vSwarm/tree/main/benchmarks/video-analytics/object_recognition,12,1
/vhive-serverless/vSwarm/tree/main/benchmarks/video-analytics/video_streaming/reference,12,1
/vhive-serverless/vSwarm/actions,11,2
