time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-04 00:00:00+00:00,62,54,41,40
2026-08-05 00:00:00+00:00,29,28,23,20
2026-08-06 00:00:00+00:00,34,20,17,10
2026-08-07 00:00:00+00:00,47,37,20,13
2026-08-08 00:00:00+00:00,256,172,21,18
2026-08-09 00:00:00+00:00,51,44,14,14
2026-08-10 00:00:00+00:00,130,97,19,16
2026-08-11 00:00:00+00:00,76,70,35,22
2026-08-12 00:00:00+00:00,112,64,20,14
2026-08-13 00:00:00+00:00,78,67,16,15
2026-08-14 00:00:00+00:00,14,14,46,24
2026-08-15 00:00:00+00:00,34,11,18,8
2026-08-16 00:00:00+00:00,148,40,17,9
2026-08-17 00:00:00+00:00,31,12,22,16
