referrer,views_total,views_unique
github.com,33,23
Google,18,12
homepages.inf.ed.ac.uk,4,3
DuckDuckGo,4,2
news.ycombinator.com,4,2
Bing,2,2
t.co,1,1
goodfirstissues.com,1,1
youtube.com,1,1
