time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-22 00:00:00+00:00,70,23,145,9
2025-04-23 00:00:00+00:00,76,7,111,6
2025-04-24 00:00:00+00:00,310,117,159,13
2025-04-25 00:00:00+00:00,78,43,45,7
2025-04-26 00:00:00+00:00,127,34,101,4
2025-04-27 00:00:00+00:00,4,4,6,4
2025-04-28 00:00:00+00:00,116,65,12,8
2025-04-29 00:00:00+00:00,188,93,22,5
2025-04-30 00:00:00+00:00,55,43,31,8
2025-05-01 00:00:00+00:00,63,8,87,6
2025-05-02 00:00:00+00:00,37,26,37,14
2025-05-03 00:00:00+00:00,68,43,4,3
2025-05-04 00:00:00+00:00,73,16,62,5
2025-05-05 00:00:00+00:00,44,13,31,5
