time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-04 00:00:00+00:00,236,103,8,4
2024-05-05 00:00:00+00:00,291,111,17,3
2024-05-06 00:00:00+00:00,200,88,97,17
2024-05-07 00:00:00+00:00,142,101,102,11
2024-05-08 00:00:00+00:00,321,152,83,12
2024-05-09 00:00:00+00:00,186,114,127,11
2024-05-10 00:00:00+00:00,52,30,120,12
2024-05-11 00:00:00+00:00,108,72,7,6
2024-05-12 00:00:00+00:00,161,94,42,7
2024-05-13 00:00:00+00:00,138,71,72,10
2024-05-14 00:00:00+00:00,89,75,166,15
2024-05-15 00:00:00+00:00,466,203,121,8
2024-05-16 00:00:00+00:00,268,138,126,18
2024-05-17 00:00:00+00:00,273,110,61,10
