time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-10 00:00:00+00:00,1295,203,100,9
2023-03-11 00:00:00+00:00,595,174,99,11
2023-03-12 00:00:00+00:00,137,93,100,18
2023-03-13 00:00:00+00:00,143,80,55,12
2023-03-14 00:00:00+00:00,479,176,146,19
2023-03-15 00:00:00+00:00,880,226,254,17
2023-03-16 00:00:00+00:00,997,230,73,20
2023-03-17 00:00:00+00:00,1089,198,392,18
2023-03-18 00:00:00+00:00,972,191,26,13
2023-03-19 00:00:00+00:00,1028,177,46,11
2023-03-20 00:00:00+00:00,1272,221,184,24
2023-03-21 00:00:00+00:00,1337,220,114,22
2023-03-22 00:00:00+00:00,850,206,118,21
2023-03-23 00:00:00+00:00,731,208,114,25
