time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-01 00:00:00+00:00,389,159,120,17
2024-04-02 00:00:00+00:00,242,119,27,8
2024-04-03 00:00:00+00:00,153,71,98,13
2024-04-04 00:00:00+00:00,365,234,124,11
2024-04-05 00:00:00+00:00,345,154,35,8
2024-04-06 00:00:00+00:00,145,83,29,6
2024-04-07 00:00:00+00:00,127,119,104,11
2024-04-08 00:00:00+00:00,245,97,232,12
2024-04-09 00:00:00+00:00,298,126,32,10
2024-04-10 00:00:00+00:00,423,111,244,18
2024-04-11 00:00:00+00:00,446,112,397,18
2024-04-12 00:00:00+00:00,254,90,336,15
2024-04-13 00:00:00+00:00,62,40,73,13
2024-04-14 00:00:00+00:00,245,103,18,10
