time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-26 00:00:00+00:00,1,1,0,0
2022-11-28 00:00:00+00:00,14,2,18,4
2022-11-29 00:00:00+00:00,10,3,119,6
2022-11-30 00:00:00+00:00,1,1,15,2
2022-12-01 00:00:00+00:00,0,0,11,2
2022-12-02 00:00:00+00:00,0,0,2,2
2022-12-04 00:00:00+00:00,0,0,7,2
2022-12-05 00:00:00+00:00,12,2,80,6
2022-12-06 00:00:00+00:00,2,1,9,3
2022-12-07 00:00:00+00:00,8,4,5,2
2022-12-08 00:00:00+00:00,1,1,2,1
2022-12-09 00:00:00+00:00,0,0,14,3
2022-12-10 00:00:00+00:00,0,0,5,1
2022-12-11 00:00:00+00:00,0,0,10,2
2022-12-12 00:00:00+00:00,12,2,3,1
2022-12-13 00:00:00+00:00,34,8,183,5
2022-12-14 00:00:00+00:00,1,1,9,1
2022-12-15 00:00:00+00:00,0,0,58,10
2022-12-16 00:00:00+00:00,44,2,114,2
2022-12-17 00:00:00+00:00,103,2,173,2
2022-12-18 00:00:00+00:00,0,0,19,3
2022-12-19 00:00:00+00:00,13,2,1,1
2022-12-20 00:00:00+00:00,1,1,5,3
2022-12-21 00:00:00+00:00,11,2,77,6
2022-12-22 00:00:00+00:00,76,4,172,3
2022-12-23 00:00:00+00:00,3,1,17,2
2022-12-24 00:00:00+00:00,38,2,73,3
2022-12-25 00:00:00+00:00,13,4,16,2
2022-12-26 00:00:00+00:00,17,2,20,3
2022-12-27 00:00:00+00:00,23,2,39,5
2022-12-28 00:00:00+00:00,149,2,213,2
2022-12-29 00:00:00+00:00,6,4,1,1
2022-12-30 00:00:00+00:00,0,0,1,1
2022-12-31 00:00:00+00:00,1,1,2,1
2023-01-01 00:00:00+00:00,1,1,5,1
2023-01-02 00:00:00+00:00,19,2,0,0
2023-01-03 00:00:00+00:00,7,4,21,4
2023-01-04 00:00:00+00:00,3,2,69,3
2023-01-05 00:00:00+00:00,3,2,65,4
2023-01-06 00:00:00+00:00,1,1,8,3
2023-01-08 00:00:00+00:00,2,2,8,2
2023-01-09 00:00:00+00:00,18,3,2,1
2023-01-10 00:00:00+00:00,3,2,13,3
2023-01-11 00:00:00+00:00,0,0,40,4
2023-01-12 00:00:00+00:00,5,5,14,3
2023-01-13 00:00:00+00:00,0,0,29,6
2023-01-14 00:00:00+00:00,1,1,19,3
2023-01-15 00:00:00+00:00,3,2,35,4
2023-01-16 00:00:00+00:00,18,3,38,4
2023-01-17 00:00:00+00:00,1,1,3,2
2023-01-18 00:00:00+00:00,1,1,110,2
2023-01-19 00:00:00+00:00,0,0,6,2
2023-01-20 00:00:00+00:00,0,0,6,1
2023-01-21 00:00:00+00:00,0,0,1,1
2023-01-22 00:00:00+00:00,0,0,13,4
2023-01-23 00:00:00+00:00,17,2,49,9
2023-01-24 00:00:00+00:00,0,0,10,5
2023-01-25 00:00:00+00:00,0,0,2,2
2023-01-26 00:00:00+00:00,3,2,30,7
2023-01-27 00:00:00+00:00,0,0,22,3
2023-01-28 00:00:00+00:00,0,0,10,3
2023-01-29 00:00:00+00:00,1,1,1,1
2023-01-30 00:00:00+00:00,19,2,2,2
2023-01-31 00:00:00+00:00,0,0,5,5
2023-02-01 00:00:00+00:00,1,1,0,0
2023-02-02 00:00:00+00:00,0,0,15,2
2023-02-03 00:00:00+00:00,0,0,17,6
2023-02-04 00:00:00+00:00,1,1,0,0
2023-02-05 00:00:00+00:00,1,1,0,0
2023-02-06 00:00:00+00:00,18,3,0,0
2023-02-07 00:00:00+00:00,142,5,165,6
2023-02-08 00:00:00+00:00,0,0,4,1
2023-02-09 00:00:00+00:00,0,0,2,2
2023-02-10 00:00:00+00:00,0,0,13,4
2023-02-11 00:00:00+00:00,1,1,0,0
2023-02-13 00:00:00+00:00,20,3,7,2
2023-02-15 00:00:00+00:00,0,0,1,1
2023-02-16 00:00:00+00:00,11,3,0,0
2023-02-17 00:00:00+00:00,0,0,16,1
2023-02-18 00:00:00+00:00,16,4,3,1
2023-02-19 00:00:00+00:00,0,0,17,1
2023-02-20 00:00:00+00:00,36,4,61,4
2023-02-21 00:00:00+00:00,0,0,12,3
2023-02-22 00:00:00+00:00,3,1,23,3
2023-02-23 00:00:00+00:00,8,2,55,3
2023-02-24 00:00:00+00:00,0,0,9,4
2023-02-25 00:00:00+00:00,1,1,0,0
2023-02-26 00:00:00+00:00,0,0,1,1
2023-02-27 00:00:00+00:00,24,3,14,2
2023-02-28 00:00:00+00:00,0,0,7,1
2023-03-01 00:00:00+00:00,2,2,2,2
2023-03-02 00:00:00+00:00,10,7,49,7
