time_iso8601,forks_cumulative
2022-07-15 00:00:00+00:00,1
2022-09-26 00:00:00+00:00,2
2022-12-21 00:00:00+00:00,3
2023-03-19 00:00:00+00:00,4
2024-12-13 00:00:00+00:00,5
2025-01-29 00:00:00+00:00,6
2025-09-03 00:00:00+00:00,7
